id,node_id,type,value,unit,metadata,created_at,created_by,agro_event_id,gateway_id,event_category,event_type,target_scope,started_at,ended_at,source,confidence,details,notes,entered_by,updated_at
2a6f6600-1fe0-4b77-99f2-8baa25f4bc2d,,,,,,2026-05-15 08:59:36.110481+01,,AGRO-1778831976114-5X6B53,GW01,irrigation,irrigation_session,both_pivots,2026-05-13 12:00:00+01,2026-05-13 17:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 300}",,,
066f2183-d0c0-4b26-8d39-ae133abc903f,MAIN,,,,"{""source"": ""deterministic_demo_continuation"", ""expected_effect"": ""soil_moisture_recovery_4_to_6_percent""}",2026-05-11 07:20:00+01,,IRR-20260511-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-11 07:20:00+01,2026-05-11 09:10:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": ""12"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260511-P1""}",Pivot 1 short irrigation before afternoon upload,demo_seed,
0c13bfd4-39c5-495b-92f9-0afd351f7c0b,,,,,,2026-05-15 09:00:51.0177+01,,AGRO-1778832051019-WRDV3O,GW01,irrigation,irrigation_session,both_pivots,2026-05-14 01:00:00+01,2026-05-14 09:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
f652c11e-dcef-47b3-8e25-5443db33e737,N2,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-27 06:00:00+01,,IRR-20260427-P2,GW01,irrigation,irrigation_session,pivot_2,2026-04-27 06:00:00+01,2026-04-27 08:35:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""21"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260427-P2""}",Heat period irrigation Pivot 2,demo_seed,
2473264c-91e0-47e3-9344-f986d4b6082e,N2,,,,"{""source"": ""deterministic_demo_continuation"", ""expected_effect"": ""soil_moisture_recovery_4_to_6_percent""}",2026-05-11 07:35:00+01,,IRR-20260511-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-11 07:35:00+01,2026-05-11 09:25:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": ""10"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260511-P2""}",Pivot 2 short irrigation before afternoon upload,demo_seed,
14af800a-2911-4a06-be56-b55e3926addc,N2,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-20 06:05:00+01,,IRR-20260420-P2,GW01,irrigation,irrigation_session,pivot_2,2026-04-20 06:05:00+01,2026-04-20 08:25:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""17"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260420-P2""}",Pivot 2 irrigation before cutting window,demo_seed,
0d193b0c-f70b-4d33-94ec-d8eaf8614adc,,,,,,2026-05-15 08:58:09.42084+01,,AGRO-1778831889424-W9NXE6,GW01,irrigation,irrigation_session,both_pivots,2026-05-12 17:00:00+01,2026-05-13 04:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 660}",,,
178236ff-f588-413a-84f4-799fb91aef11,MAIN,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-26 05:45:00+01,,IRR-20260426-P1,GW01,irrigation,irrigation_session,pivot_1,2026-04-26 05:45:00+01,2026-04-26 08:15:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""22"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260426-P1""}",Heat period irrigation Pivot 1,demo_seed,
e4eb1985-5e14-4610-8d4d-8aeab0b1359f,farm,,,,"{""source"": ""deterministic_demo_continuation""}",2026-05-09 17:30:00+01,,NOTE-20260509,GW01,field_note,field_note,farm,2026-05-09 17:30:00+01,,manual,estimated,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": null, ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""NOTE-20260509""}",Field scout noted heat stress risk and faster drying after first cut.,demo_seed,
54f2a162-f747-4ca9-9bea-222a490bebb5,farm,,,,"{""source"": ""deterministic_demo""}",2026-05-02 08:30:00+01,,CUT-20260502,GW01,cutting,cutting,farm,2026-05-02 08:30:00+01,,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": null, ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""CUT-20260502""}",First alfalfa cutting completed; sensor interpretation after cut should be cautious.,demo_seed,
66e0c2b5-b9c6-40bc-8702-9bfd255f10e1,,,,,,2026-05-15 09:01:20.938756+01,,AGRO-1778832080942-H6CZTL,GW01,irrigation,irrigation_session,both_pivots,2026-05-14 09:00:00+01,2026-05-14 17:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
5f274c6b-39ce-4305-ad2e-9cad6246adb4,,,,,,2026-05-15 09:02:16.022229+01,,AGRO-1778832136025-US2M1O,GW01,irrigation,irrigation_session,both_pivots,2026-05-14 22:00:00+01,2026-05-15 06:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
48c2ed4c-5463-4014-a82c-84eded86475f,N2,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-13 06:10:00+01,,IRR-20260413-P2,GW01,irrigation,irrigation_session,pivot_2,2026-04-13 06:10:00+01,2026-04-13 08:30:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""19"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260413-P2""}",Pivot 2 replenishment after drying,demo_seed,
bd9f10b3-3980-41e3-8040-f617c12f229c,MAIN,,,,"{""source"": ""deterministic_demo_continuation"", ""expected_effect"": ""soil_moisture_recovery_5_to_8_percent""}",2026-05-08 06:10:00+01,,IRR-20260508-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-08 06:10:00+01,2026-05-08 08:20:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": ""17"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260508-P1""}",Pivot 1 post-cut irrigation,demo_seed,
3b6d1dcc-e41a-477d-bcfd-f8a011d1ae03,N2,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-07 06:20:00+01,,IRR-20260407-P2,GW01,irrigation,irrigation_session,pivot_2,2026-04-07 06:20:00+01,2026-04-07 08:40:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""16"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260407-P2""}",Pivot 2 follow-up irrigation,demo_seed,
69887f09-2097-4c45-98aa-efa8130f1b4c,,,,,,2026-05-15 09:00:16.626034+01,,AGRO-1778832016629-VQYGOQ,GW01,irrigation,irrigation_session,both_pivots,2026-05-13 22:00:00+01,2026-05-14 01:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 180}",,,
15a1d74e-ba79-4fa6-a7b9-8771eec42dd1,MAIN,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-12 05:50:00+01,,IRR-20260412-P1,GW01,irrigation,irrigation_session,pivot_1,2026-04-12 05:50:00+01,2026-04-12 08:20:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""20"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260412-P1""}",Pivot 1 replenishment after drying,demo_seed,
3e7fdf04-a4ab-4b63-97dd-46bef8b015f9,N2,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-05-01 06:15:00+01,,IRR-20260501-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-01 06:15:00+01,2026-05-01 08:35:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""16"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260501-P2""}",Short irrigation before mowing,demo_seed,
2c5ea585-6161-4641-bd10-6ec1c430cc76,farm,,,,"{""source"": ""deterministic_demo""}",2026-04-10 10:00:00+01,,FERT-20260410,GW01,fertilization,fertilization,farm,2026-04-10 10:00:00+01,,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": null, ""rate_kg_ha"": ""55"", ""fertilizer_type"": ""NPK"", ""original_event_id"": ""FERT-20260410""}",NPK 20-20-20 fertigation after establishment,demo_seed,
d564294d-d40b-41b7-84d7-b74f1445372b,N2,,,,"{""source"": ""deterministic_demo_continuation"", ""expected_effect"": ""soil_moisture_recovery_5_to_8_percent""}",2026-05-08 06:25:00+01,,IRR-20260508-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-08 06:25:00+01,2026-05-08 08:35:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": ""15"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260508-P2""}",Pivot 2 post-cut irrigation,demo_seed,
