id,node_id,type,value,unit,metadata,created_at,created_by,agro_event_id,gateway_id,event_category,event_type,target_scope,started_at,ended_at,source,confidence,details,notes,entered_by,updated_at
irr-demo-202605152200,MAIN,,,,,,,IRR-20260515-1500-P1-R,GW01,irrigation,irrigation_session,pivot_1,2026-05-15T22:00:00+01:00,2026-05-16T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605152300,N2,,,,,,,IRR-20260515-2300-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-15T23:00:00+01:00,2026-05-16T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
irr-demo-202605160700,MAIN,,,,,,,IRR-20260516-0700-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-16T07:00:00+01:00,2026-05-16T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
irr-demo-202605161500,N2,,,,,,,IRR-20260516-1500-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-16T15:00:00+01:00,2026-05-16T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605162200,N2,,,,,,,IRR-20260516-1500-P2-R,GW01,irrigation,irrigation_session,pivot_2,2026-05-16T22:00:00+01:00,2026-05-17T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605162300,MAIN,,,,,,,IRR-20260516-2300-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-16T23:00:00+01:00,2026-05-17T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
irr-demo-202605170700,N2,,,,,,,IRR-20260517-0700-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-17T07:00:00+01:00,2026-05-17T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
irr-demo-202605171500,MAIN,,,,,,,IRR-20260517-1500-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-17T15:00:00+01:00,2026-05-17T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605172200,MAIN,,,,,,,IRR-20260517-1500-P1-R,GW01,irrigation,irrigation_session,pivot_1,2026-05-17T22:00:00+01:00,2026-05-18T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605172300,N2,,,,,,,IRR-20260517-2300-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-17T23:00:00+01:00,2026-05-18T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
irr-demo-202605180700,MAIN,,,,,,,IRR-20260518-0700-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-18T07:00:00+01:00,2026-05-18T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
irr-demo-202605181500,N2,,,,,,,IRR-20260518-1500-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-18T15:00:00+01:00,2026-05-18T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605182200,N2,,,,,,,IRR-20260518-1500-P2-R,GW01,irrigation,irrigation_session,pivot_2,2026-05-18T22:00:00+01:00,2026-05-19T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605182300,MAIN,,,,,,,IRR-20260518-2300-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-18T23:00:00+01:00,2026-05-19T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
irr-demo-202605190700,N2,,,,,,,IRR-20260519-0700-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-19T07:00:00+01:00,2026-05-19T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
irr-demo-202605191500,MAIN,,,,,,,IRR-20260519-1500-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-19T15:00:00+01:00,2026-05-19T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605192200,MAIN,,,,,,,IRR-20260519-1500-P1-R,GW01,irrigation,irrigation_session,pivot_1,2026-05-19T22:00:00+01:00,2026-05-20T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605192300,N2,,,,,,,IRR-20260519-2300-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-19T23:00:00+01:00,2026-05-20T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
irr-demo-202605200700,MAIN,,,,,,,IRR-20260520-0700-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-20T07:00:00+01:00,2026-05-20T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
irr-demo-202605201500,N2,,,,,,,IRR-20260520-1500-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-20T15:00:00+01:00,2026-05-20T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605202200,N2,,,,,,,IRR-20260520-1500-P2-R,GW01,irrigation,irrigation_session,pivot_2,2026-05-20T22:00:00+01:00,2026-05-21T04:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
irr-demo-202605202300,MAIN,,,,,,,IRR-20260520-2300-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-20T23:00:00+01:00,2026-05-21T07:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 1.,,
